14:03:02.483 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
14:03:02.518 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:03:02.519 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:03:02.742 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests
14:03:02.913 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:03:02.943 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1755e85b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@736d6a5c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2371aaca, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5b529706, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63fdab07, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b5a12ae, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5553d0f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1af687fe, org.springframework.test.context.event.EventPublishingTestExecutionListener@14dda234, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3f390d63, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@74a6a609, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a411614, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2374d36a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@54d18072, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1506f20f]
14:03:03.469 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 17.0.12 on pratik with PID 6476 (started by prati in C:\Users\prati\IdeaProjects\lambokEG)
14:03:03.471 [main] DEBUG n.e.j.JournalAppApplicationTests - Running with Spring Boot v2.7.16, Spring v5.3.30
14:03:03.471 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "prod"
14:03:04.371 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
14:03:04.450 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 2 MongoDB repository interfaces.
